"transaction_id","timestamp","customer_id","product_id","product_name","category","quantity","price","total_amount","year","month","day","hour","day_of_week","discount","final_amount","date"
"TXN54146","1764343175361678000","CUST4620","PROD223","Laptop","Electronics","1","999.99","999.99","2025","11","28","15","4","0.0","999.99","2025-11-28"
"TXN37092","1764341675310783000","CUST6862","PROD275","USB-C Cable","Electronics","4","12.99","51.96","2025","11","28","14","4","0.0","51.96","2025-11-28"
"TXN45710","1764339575290596000","CUST4081","PROD187","Jeans","Clothing","5","49.99","249.95","2025","11","28","14","4","0.0","249.95","2025-11-28"
"TXN13321","1764343775249148000","CUST1010","PROD583","Wireless Mouse","Electronics","1","29.99","29.99","2025","11","28","15","4","0.0","29.99","2025-11-28"
"TXN72222","1764343475449465000","CUST4384","PROD452","USB-C Cable","Electronics","5","12.99","64.95","2025","11","28","15","4","0.0","64.95","2025-11-28"
"TXN89464","1764342275210202000","CUST8294","PROD759","Jeans","Clothing","3","49.99","149.97","2025","11","28","15","4","0.0","149.97","2025-11-28"
"TXN54943","1764339875362314000","CUST8165","PROD633","USB-C Cable","Electronics","5","12.99","64.95","2025","11","28","14","4","0.0","64.95","2025-11-28"
"TXN17672","1764340475267235000","CUST2109","PROD941","Laptop","Electronics","2","999.99","1999.98","2025","11","28","14","4","0.0","1999.98","2025-11-28"
"TXN30965","1764342575270046000","CUST2051","PROD722","Python Book","Books","3","39.99","119.97","2025","11","28","15","4","0.0","119.97","2025-11-28"
"TXN32685","1764341075375260000","CUST2773","PROD202","T-Shirt","Clothing","4","19.99","79.96","2025","11","28","14","4","0.0","79.96","2025-11-28"
