"customer_id","num_orders","lifetime_value","avg_order"
"CUST5123","1","4999.95","5000.0"
"CUST2109","1","1999.98","2000.0"
"CUST4620","1","999.99","1000.0"
"CUST4081","1","249.95","250.0"
"CUST4495","1","159.96","160.0"
"CUST8294","1","149.97","150.0"
"CUST2051","1","119.97","120.0"
"CUST8536","1","89.98","90.0"
"CUST3236","1","89.98","90.0"
"CUST7829","1","79.98","80.0"
"CUST2773","1","79.96","80.0"
"CUST8165","1","64.95","65.0"
"CUST4384","1","64.95","65.0"
"CUST6862","1","51.96","52.0"
"CUST8884","1","38.97","39.0"
"CUST1010","1","29.99","30.0"
